FST TAG	LINGUISTIC (SHORT)	LINGUISTIC (LONG)	ENGLISH	NÊHIYAWÊWIN	EMOJI		
[3SG-SUBJ][1SG-OBJ]	3s → 1s	Subject: 3rd Person Singular → Object: 1st Person Singular					
[3PL-SUBJ][1SG-OBJ]	3p → 1s	Subject: 3rd Person Plural → Object: 1st Person Singular					
[3SG-SUBJ][2SG-OBJ]	3s → 2s	Subject: 3rd Person Singular → Object: 2nd Person Singular					
[3PL-SUBJ][2SG-OBJ]	3p → 2s	Subject: 3rd Person Plural → Object: 2nd Person Singular					
[4SG-SUBJ][3SG-OBJ]	4s → 3s	Subject: 4th Person Singular → Object: 3rd Person Singular					
[4PL-SUBJ][3SG-OBJ]	4p → 3s	Subject: 4th Person Plural → Object: 3rd Person Singular					
[4SG-SUBJ][4SG-OBJ]	4s → 4s	Subject: 4th Person Singular → Object: 4th Person Singular					
[4PL-SUBJ][4SG-OBJ]	4p → 4s	Subject: 4th Person Plural → Object: 4th Person Singular					
[3SG-SUBJ][1PL-EXCL-OBJ]	3s → 1p (excl)	Subject: 3rd Person Singular → Object: 1st Person Plural (Exclusive)					
[3PL-SUBJ][1PL-EXCL-OBJ]	3p → 1p (excl)	Subject: 3rd Person Plural → Object: 1st Person Plural (Exclusive)					
[3SG-SUBJ][1PL-INCL-OBJ]	3s → 1p (incl)	Subject: 3rd Person Singular → Object: 1st Person Plural (Inclusive)					
[3PL-SUBJ][1PL-INCL-OBJ]	3p → 1p (incl)	Subject: 3rd Person Plural → Object: 1st Person Plural (Inclusive)					
[3SG-SUBJ][2PL-OBJ]	3s → 2p	Subject: 3rd Person Singular → Object: 2nd Person Plural					
[3PL-SUBJ][2PL-OBJ]	3p → 2p	Subject: 3rd Person Plural → Object: 2nd Person Plural					
[4SG-SUBJ][3PL-OBJ]	4s → 3p	Subject: 4th Person Singular → Object: 3rd Person Plural					
[4PL-SUBJ][3PL-OBJ]	4p → 3p	Subject: 4th Person Plural → Object: 3rd Person Plural					
[4SG-SUBJ][4PL-OBJ]	4s → 4p	Subject: 4th Person Singular → Object: 4th Person Plural					
[4PL-SUBJ][4PL-OBJ]	4p → 4p	Subject: 4th Person Plural → Object: 4th Person Plural					
							
[PRESENT]	Present	Present tense	something is happening now				
[PAST]	Past	Past tense	something happened before this				
[FUTURE]	Future	Future tense	something is happening later on				
[INF]	Infinitive	Infinitive form	for something to happen				
[PROGRESSIVE]	Progresssive	Progressive					
[PERFECTIVE]	Perfective	Perfective					
[IMPERFECTIVE]	Imperfective	Imperfective					
[SIMPLE]	Simple	Simple tense					
[IC]	IC	Initial change	Initial change	Initial change			
[II]	II	Inanimate Intransitive					
[AI]	AI	Animate Intransitive					
[IA]	IA						
[TA]	TA	Animate Transitive					
[TI]	TI	Inanimate Transitive					
							
[CONJUNCT]		Conjunct					
[SUBJUNCTIVE]	Subjunct	Subjunctive	would/could				
[ITERATIVE]	Iter	Iterative	repeatedly				
[PROHIBITIVE]	Prohib	Prohibitive	not allowed				
