32334 ,	,+CLB
   2 ê-kî-isi-pimâtisit	PV/e+PV/ki+PV/isi+pimâtisiw+V+AI+Cnj+3Sg
   2 ê-kî-isi-pimâcihoyâhk	PV/e+PV/ki+PV/isi+pimâcihow+V+AI+Cnj+1Pl
   2 ê-kî-isi-pimâcihocik	PV/e+PV/ki+PV/isi+pimâcihow+V+AI+Cnj+3Pl
   2 ê-kî-isi-nakiskawak	PV/e+PV/ki+PV/isi+nakiskawêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kî-is-ôh-âya-onâpêmit	ê-kî-is-ôh-âya-onâpêmit+?
   2 ê-kî-is-âyât	ê-kî-is-âyât+?
   2 ê-kî-ihtatahk	ê-kî-ihtatahk+?
   2 ê-kî-ihtakohki	ê-kî-ihtakohki+?
   2 ê-kî-cîpayi-mâmawihitoyân	ê-kî-cîpayi-mâmawihitoyân+?
   2 ê-kî-ayâyahk	PV/e+PV/ki+ayâw+V+AI+Cnj+12Pl
   2 ê-kî-ayâwâyit	PV/e+PV/ki+ayâwêw+V+TA+Cnj+4Sg/Pl+5Sg/PlO
   2 ê-kî-ayâwak	PV/e+PV/ki+ayâwêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kî-ayâk	PV/e+PV/ki+ayâw+V+II+Cnj+3Sg
   2 ê-kî-ayiwâkipayit	PV/e+PV/ki+ayiwâkipayiw+V+AI+Cnj+3Sg
   2 ê-kî-ayamihât	PV/e+PV/ki+ayamihâw+V+AI+Cnj+3Sg
   2 ê-kî-ayamihâcik	PV/e+PV/ki+ayamihâw+V+AI+Cnj+3Pl
   2 ê-kî-aya-nanâtohkokwâsot	ê-kî-aya-nanâtohkokwâsot+?
   2 ê-kî-awihiwêt	PV/e+PV/ki+awihiwêw+V+AI+Cnj+3Sg
   2 ê-kî-atâwêt	PV/e+PV/ki+atâwêw+V+AI+Cnj+3Sg
   2 ê-kî-atâwêcik	PV/e+PV/ki+atâwêw+V+AI+Cnj+3Pl
   2 ê-kî-atoskêyân	PV/e+PV/ki+atoskêw+V+AI+Cnj+1Sg
   2 ê-kî-atoskêhk	PV/e+PV/ki+atoskêw+V+AI+Cnj+X
   2 ê-kî-atoskawât	PV/e+PV/ki+atoskawêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-kî-atoskawakik	PV/e+PV/ki+atoskawêw+V+TA+Cnj+1Sg+3PlO
   2 ê-kî-astêki	PV/e+PV/ki+astêw+V+II+Cnj+3Pl
   2 ê-kî-astâcik	PV/e+PV/ki+astâw+V+TI+Cnj+3Pl
   2 ê-kî-asiwatât	PV/e+PV/ki+asiwatâw+V+TI+Cnj+3Sg
   2 ê-kî-asiwatâcik	PV/e+PV/ki+asiwatâw+V+TI+Cnj+3Pl
   2 ê-kî-asamâyâhkik	PV/e+PV/ki+asamêw+V+TA+Cnj+1Pl+3PlO
   2 ê-kî-asamikowisicik	PV/e+PV/ki+asamikowisiw+V+AI+Cnj+3Pl
   2 ê-kî-asamihcik	PV/e+PV/ki+asamêw+V+TA+Cnj+X+3PlO
   2 ê-kî-asahkêt	PV/e+PV/ki+asahkêw+V+AI+Cnj+3Sg
   2 ê-kî-apit	PV/e+PV/ki+apiw+V+AI+Cnj+3Sg
   2 ê-kî-apihkâtahkik	PV/e+PV/ki+apihkâtam+V+TI+Cnj+3Pl
   2 ê-kî-akotât	PV/e+PV/ki+akotâw+V+TI+Cnj+3Sg
   2 ê-kâsôhtawât	ê-kâsôhtawât+?
   2 ê-kâsîhkwêyân	PV/e+kâsîhkwêw+V+AI+Cnj+1Sg
   2 ê-kâsîhkwêt	PV/e+kâsîhkwêw+V+AI+Cnj+3Sg
   2 ê-kâsot	ê-kâsot+?
   2 ê-kâkîsimocik	PV/e+kâkîsimow+V+AI+Cnj+3Pl
   2 ê-kâh-kiskisomitocik	PV/e+RdplS+kiskisomitowak+V+AI+Cnj+3Pl
   2 ê-kâh-kaskikwâsot	PV/e+RdplS+kaskikwâswêw+V+TA+Cnj+3Sg+1SgO
   2 ê-kwîtâpacihtâcik	PV/e+kwîtâpacihtâw+V+TI+Cnj+3Pl
   2 ê-kwêskimot	ê-kwêskimot+?
   2 ê-kwâpikêt	PV/e+kwâpikêw+V+AI+Cnj+3Sg
   2 ê-kwâhkotêyik	PV/e+kwâhkotêw+V+II+Cnj+4Sg
   2 ê-kwayâci-paminawasoyit	PV/e+PV/kwayaci+paminawasow+V+AI+Cnj+4Sg/Pl
   2 ê-kwayasitêyit	PV/e+kwayasitêw+V+AI+Cnj+4Sg/Pl
   2 ê-kwayakohkasoyit	ê-kwayakohkasoyit+?
   2 ê-kwatakihtât	PV/e+kwatakihtâw+V+TI+Cnj+3Sg
   2 ê-kostâyâhk	PV/e+kostêw+V+TA+Cnj+1Pl+3SgO
   2 ê-kostikocik	PV/e+kostêw+V+TA+Cnj+4Sg/Pl+3PlO
   2 ê-kostak	PV/e+kostêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kostahkik	PV/e+kostam+V+TI+Cnj+3Pl
   2 ê-koskwêyihtamân	PV/e+koskwêyihtam+V+TI+Cnj+1Sg
   2 ê-koskohtawak	PV/e+koskohtawêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kosikwahk	PV/e+kosikwan+V+II+Cnj+3Sg
   2 ê-kiyokawak	PV/e+kiyokawêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kitotikot	PV/e+kitotêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-kitimâkêyimâcik	PV/e+kitimâkêyimêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-kitimâkêyimikoyahk	PV/e+kitimâkêyimêw+V+TA+Cnj+3Sg+12PlO
   2 ê-kitimâkêyimikot	PV/e+kitimâkêyimêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-kitimâkêyimiht	PV/e+kitimâkêyimêw+V+TA+Cnj+X+3SgO
   2 ê-kitimâkinâtân	PV/e+kitimâkinawêw+V+TA+Cnj+1Sg+2SgO
   2 ê-kitimâkinawât	PV/e+kitimâkinawêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-kitimâkinawakik	PV/e+kitimâkinawêw+V+TA+Cnj+1Sg+3PlO
   2 ê-kitimahisot	PV/e+kitimahisow+V+AI+Cnj+3Sg
   2 ê-kitimahihcik	PV/e+kitimahêw+V+TA+Cnj+X+3PlO
   2 ê-kisêyinîwiyit	PV/e+kisêyinîwiw+V+AI+Cnj+4Sg/Pl
   2 ê-kisêyinîwit	PV/e+kisêyinîwiw+V+AI+Cnj+3Sg
   2 ê-kisêpêkinamoht	ê-kisêpêkinamoht+?
   2 ê-kisâtahkik	PV/e+kisâtam+V+TI+Cnj+3Pl
   2 ê-kisâkamisikêhk	PV/e+kisâkamisikêw+V+AI+Cnj+X
   2 ê-kiskêyimât	PV/e+kiskêyimêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-kiskêyimikot	PV/e+kiskêyimêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-kiskêyimiht	PV/e+kiskêyimêw+V+TA+Cnj+X+3SgO
   2 ê-kiskêyihtamôhikowisit	ê-kiskêyihtamôhikowisit+?
   2 ê-kiskêyihtaman	PV/e+kiskêyihtam+V+TI+Cnj+2Sg
   2 ê-kiskinohamâkêyit	ê-kiskinohamâkêyit+?
   2 ê-kiskinohamâkoyâhk	ê-kiskinohamâkoyâhk+?
   2 ê-kiskinohamâkosiyân	ê-kiskinohamâkosiyân+?
   2 ê-kiskinohamâkosicik	ê-kiskinohamâkosicik+?
   2 ê-kisiwâhât	PV/e+kisiwâhêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-kisiwâhit	PV/e+kisiwâhêw+V+TA+Cnj+3Sg+1SgO
   2 ê-kipokwâtamihk	PV/e+kipokwâtam+V+TI+Cnj+X+3Sg
   2 ê-kipokwâtahk	PV/e+kipokwâtam+V+TI+Cnj+3Sg
   2 ê-kipihtinahk	PV/e+kipihtinam+V+TI+Cnj+3Sg
   2 ê-kipahikâtêk	PV/e+kipahikâtêw+V+II+Cnj+3Sg
   2 ê-kipahahk	PV/e+kipaham+V+TI+Cnj+3Sg
   2 ê-kinosiyit	PV/e+kinosiw+V+AI+Cnj+4Sg/Pl
   2 ê-kimotamawâcik	PV/e+kimotamawêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-kikiskamân	PV/e+kikiskam+V+TI+Cnj+1Sg
   2 ê-kikiskamiyit	PV/e+kikiskam+V+TI+Cnj+4Sg/Pl
   2 ê-kikasâkêyit	PV/e+kikasâkêw+V+AI+Cnj+4Sg/Pl
   2 ê-kikamohât	PV/e+kikamohêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-kikamohtâcik	PV/e+kikamohtâw+V+TI+Cnj+3Pl
   2 ê-kihtimiyân	PV/e+kihtimiw+V+AI+Cnj+1Sg
   2 ê-katawatêyimak	PV/e+katawatêyimêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kaskêyihtahk	PV/e+kaskêyihtam+V+TI+Cnj+3Sg
   2 ê-kaskâwikanêhoht	PV/e+kaskâwikanêhwêw+V+TA+Cnj+X+3SgO
   2 ê-kaskâpasocik	PV/e+kaskâpaswêw+V+TA+Cnj+3Pl+1SgO
   2 ê-kaskâpahtêyik	PV/e+kaskâpahtêw+V+II+Cnj+4Sg
   2 ê-kaskâciwasahk	PV/e+kaskâciwasam+V+TI+Cnj+3Sg
   2 ê-kaskikwâtamân	PV/e+kaskikwâtam+V+TI+Cnj+1Sg
   2 ê-kaskikwâswâkêt	PV/e+kaskikwâswâkêw+V+AI+Cnj+3Sg
   2 ê-kaskikwâsoyân	PV/e+kaskikwâsow+V+AI+Cnj+1Sg
   2 ê-kaskihtâyân	PV/e+kaskihtâw+V+TI+Cnj+1Sg
   2 ê-kaskihikawiyân	PV/e+kaskihêw+V+TA+Cnj+X+1SgO
   2 ê-kapêsit	PV/e+kapêsiw+V+AI+Cnj+3Sg
   2 ê-kapâcik	PV/e+kapâw+V+AI+Cnj+3Pl
   2 ê-kanâcihtâyâhk	PV/e+kanâcihtâw+V+TI+Cnj+1Pl
   2 ê-kanawâpokêt	PV/e+kanawâpokêw+V+AI+Cnj+3Sg
   2 ê-kakêskimât	PV/e+kakêskimêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-kakêpâtisit	PV/e+kakêpâtisiw+V+AI+Cnj+3Sg
   2 ê-kakâyawâtisit	PV/e+kakâyawâtisiw+V+AI+Cnj+3Sg
   2 ê-kakwêcimit	PV/e+kakwêcimêw+V+TA+Cnj+3Sg+1SgO
   2 ê-kakwêcihkêmocik	PV/e+kakwêcihkêmow+V+AI+Cnj+3Pl
   2 ê-kakwê-wîcôhkamawak	PV/e+PV/kakwe+wîcôhkamawêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kakwê-otihtinak	PV/e+PV/kakwe+otihtinêw+V+TA+Cnj+1Sg+3SgO
   2 ê-kakwê	ê-kakwê+?
   2 ê-kakwâtakihât	PV/e+kakwâtakihêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-ka-kitâpamât	PV/e+RdplW+kitâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-ka-kitâpahtahk	PV/e+RdplW+kitâpahtam+V+TI+Cnj+3Sg
   2 ê-ka-kisâtât	PV/e+RdplW+kisâtêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-ka-kicâpahcahk	ê-ka-kicâpahcahk+?
   2 ê-iyinîsit	PV/e+iyinîsiw+V+AI+Cnj+3Sg
   2 ê-itêyimikocik	PV/e+itêyimêw+V+TA+Cnj+4Sg/Pl+3PlO
   2 ê-itêyihtâkwahk	PV/e+itêyihtâkwan+V+II+Cnj+3Sg
   2 ê-itêyihtamiyit	PV/e+itêyihtam+V+TI+Cnj+4Sg/Pl
   2 ê-itêyihtamihk	PV/e+itêyihtam+V+TI+Cnj+X+3Sg
   2 ê-itêyihtamahk	PV/e+itêyihtam+V+TI+Cnj+12Pl
   2 ê-itâtisicik	PV/e+itâtisiw+V+AI+Cnj+3Pl
   2 ê-itâpatakêyimoyân	PV/e+itâpatakêyimow+V+AI+Cnj+1Sg
   2 ê-itâhkômak	PV/e+itâhkômêw+V+TA+Cnj+1Sg+3SgO
   2 ê-itâcimostawakik	PV/e+itâcimostawêw+V+TA+Cnj+1Sg+3PlO
   2 ê-itâcimostawak	PV/e+itâcimostawêw+V+TA+Cnj+1Sg+3SgO
   2 ê-itâcihocik	PV/e+itâcihow+V+AI+Cnj+3Pl
   2 ê-itwêyahk	PV/e+itwêw+V+AI+Cnj+12Pl
   2 ê-itwêstamâkawiyân	PV/e+itwêstamawêw+V+TA+Cnj+X+1SgO
   2 ê-itohtatâcik	PV/e+itohtatâw+V+TI+Cnj+3Pl
   2 ê-itohtahikot	PV/e+itohtahêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-itiskwêsihk	PV/e+itiskwêsin+V+AI+Cnj+3Sg
   2 ê-itisinamawât	PV/e+itisinamawêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-itisinamawak	PV/e+itisinamawêw+V+TA+Cnj+1Sg+3SgO
   2 ê-itinât	PV/e+itinêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-itinikêt	PV/e+itinikêw+V+AI+Cnj+3Sg
   2 ê-itinikêcik	PV/e+itinikêw+V+AI+Cnj+3Pl
   2 ê-itikoyâhk	PV/e+itêw+V+TA+Cnj+4Sg/Pl+1PlO
   2 ê-itikoyâhk	PV/e+itêw+V+TA+Cnj+3Sg+1PlO
   2 ê-itikawiyân	PV/e+itêw+V+TA+Cnj+X+1SgO
   2 ê-itikawiyan	PV/e+itêw+V+TA+Cnj+X+2SgO
   2 ê-itihcik	PV/e+itêw+V+TA+Cnj+X+3PlO
   2 ê-itastêyik	PV/e+itastêw+V+II+Cnj+4Sg
   2 ê-itastât	PV/e+itastâw+V+TI+Cnj+3Sg
   2 ê-itapihkêt	PV/e+itapihkêw+V+AI+Cnj+3Sg
   2 ê-itahtwapiyahk	PV/e+itahtwapiwak+V+AI+Cnj+12Pl
   2 ê-itahtopiponêcik	PV/e+itahtopiponêw+V+AI+Cnj+3Pl
   2 ê-isîhot	PV/e+isîhow+V+AI+Cnj+3Sg
   2 ê-ispîhtisît	PV/e+ispîhtisîw+V+AI+Cnj+3Sg
   2 ê-ispicihk	PV/e+ispiciw+V+AI+Cnj+X
   2 ê-ispayiyân	PV/e+ispayiw+V+AI+Cnj+1Sg
   2 ê-ispayit	PV/e+ispayiw+V+AI+Cnj+3Sg
   2 ê-ispatinâk	PV/e+ispatinâw+V+II+Cnj+3Sg
   2 ê-ispahtâyân	PV/e+ispahtâw+V+AI+Cnj+1Sg
   2 ê-ispahtâcik	PV/e+ispahtâw+V+AI+Cnj+3Pl
   2 ê-ispacinâsik	PV/e+ispacinâsiw+V+II+Cnj+3Sg
   2 ê-iskosiyit	PV/e+iskosiw+V+AI+Cnj+4Sg/Pl
   2 ê-isko-kiskêyihtamân	PV/e+PV/isko+kiskêyihtam+V+TI+Cnj+1Sg
   2 ê-isiyîhkâtêki	ê-isiyîhkâtêki+?
   2 ê-isiyîhkâsoyâhk	ê-isiyîhkâsoyâhk+?
   2 ê-isiniskêyit	PV/e+isiniskêyiw+V+AI+Cnj+3Sg
   2 ê-isicik	PV/e+itêw+V+TA+Cnj+3Pl+1SgO
   2 ê-isi-wîhtamâtakok	PV/e+PV/isi+wîhtamawêw+V+TA+Cnj+1Sg+2PlO
   2 ê-isi-wêpinât	PV/e+isi-wêpinêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-isi-wêpiniht	PV/e+isi-wêpinêw+V+TA+Cnj+X+3SgO
   2 ê-isi-wâpahtamân	PV/e+isi-wâpahtam+V+TI+Cnj+1Sg
   2 ê-isi-wâpahtahkik	PV/e+isi-wâpahtam+V+TI+Cnj+3Pl
   2 ê-isi-wâpahtahk	PV/e+isi-wâpahtam+V+TI+Cnj+3Sg
   2 ê-isi-wayawît	PV/e+PV/isi+wayawîw+V+AI+Cnj+3Sg
   2 ê-isi-wanihâcik	PV/e+PV/isi+wanihêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-isi-tâpwêt	PV/e+PV/isi+tâpwêw+V+AI+Cnj+3Sg
   2 ê-isi-sipwêhtêyit	PV/e+PV/isi+sipwêhtêw+V+AI+Cnj+4Sg/Pl
   2 ê-isi-pêhtamân	PV/e+PV/isi+pêhtam+V+TI+Cnj+1Sg
   2 ê-isi-pimipayik	PV/e+PV/isi+pimipayiw+V+II+Cnj+3Sg
   2 ê-isi-ohtiskawapit	PV/e+PV/isi+ohtiskawapiw+V+AI+Cnj+3Sg
   2 ê-isi-nitawêyihtahk	PV/e+PV/isi+nitawêyihtam+V+TI+Cnj+3Sg
   2 ê-isi-nikamot	PV/e+PV/isi+nikamow+V+AI+Cnj+3Sg
   2 ê-isi-mêtawêhk	PV/e+PV/isi+mêtawêw+V+AI+Cnj+X
   2 ê-isi-miywâsik	PV/e+PV/isi+miywâsin+V+II+Cnj+3Sg
   2 ê-isi-manisahkik	PV/e+PV/isi+manisam+V+TI+Cnj+3Pl
   2 ê-isi-kitâpamât	PV/e+PV/isi+kitâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-isi-kitimâkêyimâcik	PV/e+PV/isi+kitimâkêyimêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-isi-kiskisiyân	PV/e+PV/isi+kiskisiw+V+AI+Cnj+1Sg
   2 ê-isi-kiskisiyan	PV/e+PV/isi+kiskisiw+V+AI+Cnj+2Sg
   2 ê-isi	ê-isi+?
   2 ê-ihtasiyit	PV/e+ihtasiwak+V+AI+Cnj+4Sg/Pl
   2 ê-ihtakot	PV/e+ihtakow+V+AI+Cnj+3Sg
   2 ê-ihtakoki	PV/e+ihtakon+V+II+Cnj+3Pl
   2 ê-ihkêyihtamân	PV/e+ihkêyihtam+V+TI+Cnj+1Sg
   2 ê-ihkatawâyik	PV/e+ihkatawâw+V+II+Cnj+4Sg
   2 ê-cîsâwâtahk	PV/e+cîsâwâtam+V+TI+Cnj+3Sg
   2 ê-cîkahwât	PV/e+cîkahwêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-cîkahosot	PV/e+cîkahosow+V+AI+Cnj+3Sg
   2 ê-cîkahikêyân	PV/e+cîkahikêw+V+AI+Cnj+1Sg
   2 ê-cimatêk	PV/e+cimatêw+V+II+Cnj+3Sg
   2 ê-cimatwâtocik	ê-cimatwâtocik+?
   2 ê-cimacikêhk	PV/e+cimacikêw+V+AI+Cnj+X
   2 ê-cikahkwâtât	PV/e+cikahkwâtêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-ayîtâpit	ê-ayîtâpit+?
   2 ê-ayâwâcik	PV/e+ayâwêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-ayamihêwiyinîwit	PV/e+ayamihêwiyinîwiw+V+AI+Cnj+3Sg
   2 ê-ayamihêwikîsikâk	ê-ayamihêwikîsikâk+?
   2 ê-ayamihâyân	PV/e+ayamihâw+V+AI+Cnj+1Sg
   2 ê-ayamihtâyân	PV/e+ayamihtâw+V+TI+Cnj+1Sg
   2 ê-ay-âcimot	PV/e+RdplW+âcimow+V+AI+Cnj+3Sg
   2 ê-ay-itêyihtamân	PV/e+RdplW+itêyihtam+V+TI+Cnj+1Sg
   2 ê-ay-isîhkawit	PV/e+RdplW+isîhkawêw+V+TA+Cnj+3Sg+1SgO
   2 ê-ay-ayâyâhk	PV/e+RdplW+ayâw+V+AI+Cnj+1Pl
   2 ê-ay-ayiwihikot	PV/e+RdplW+ayiwihêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-ay-atoskêt	PV/e+RdplW+atoskêw+V+AI+Cnj+3Sg
   2 ê-ay	ê-ay+?
   2 ê-awatâcik	ê-awatâcik+?
   2 ê-atâwêcik	PV/e+atâwêw+V+AI+Cnj+3Pl
   2 ê-atâmêyimâyâhk	PV/e+atâmêyimêw+V+TA+Cnj+1Pl+3SgO
   2 ê-atoskêyin	ê-atoskêyin+?
   2 ê-atoskêhk	PV/e+atoskêw+V+AI+Cnj+X
   2 ê-atoskâtamân	PV/e+atoskâtam+V+TI+Cnj+1Sg
   2 ê-atoskâtahkik	PV/e+atoskâtam+V+TI+Cnj+3Pl
   2 ê-atimohtêyit	PV/e+atimohtêw+V+AI+Cnj+4Sg/Pl
   2 ê-atimikot	PV/e+atimêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-atihtêki	PV/e+atihtêw+V+II+Cnj+3Pl
   2 ê-ati-âmaciwêyit	PV/e+PV/ati+âmaciwêw+V+AI+Cnj+4Sg/Pl
   2 ê-ati-wâpahk	PV/e+PV/ati+wâpan+V+II+Cnj+3Sg
   2 ê-ati-takwâkik	PV/e+PV/ati+takwâkin+V+II+Cnj+3Sg
   2 ê-ati-sâkêwêt	PV/e+PV/ati+sâkêwêw+V+AI+Cnj+3Sg
   2 ê-ati-sâkêwêcik	PV/e+PV/ati+sâkêwêw+V+AI+Cnj+3Pl
   2 ê-ati-sipwêhtêcik	PV/e+PV/ati+sipwêhtêw+V+AI+Cnj+3Pl
   2 ê-ati-pîhtokêyit	PV/e+PV/ati+pîhtokêw+V+AI+Cnj+4Sg/Pl
   2 ê-ati-pâskisosot	PV/e+PV/ati+pâskisosow+V+AI+Cnj+3Sg
   2 ê-ati-pimihât	PV/e+PV/ati+pimihâw+V+AI+Cnj+3Sg
   2 ê-ati-pimakociniyâhk	PV/e+PV/ati+pimakocin+V+AI+Cnj+1Pl
   2 ê-ati-otinahk	PV/e+PV/ati+otinam+V+TI+Cnj+3Sg
   2 ê-ati-otihtahk	PV/e+PV/ati+otihtam+V+TI+Cnj+3Sg
   2 ê-ati-oskinîkit	ê-ati-oskinîkit+?
   2 ê-ati-nôkosit	PV/e+PV/ati+nôkosiw+V+AI+Cnj+3Sg
   2 ê-ati-nîpihk	PV/e+PV/ati+nîpin+V+II+Cnj+3Sg
   2 ê-ati-nahastâhk	PV/e+PV/ati+nahastâw+V+TI+Cnj+X
   2 ê-ati-mâtoyit	PV/e+PV/ati+mâtow+V+AI+Cnj+4Sg/Pl
   2 ê-ati-miyât	PV/e+PV/ati+miyêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-ati-kîs-ôhpikicik	ê-ati-kîs-ôhpikicik+?
   2 ê-ati-kotâwipayit	PV/e+PV/ati+kotâwipayiw+V+AI+Cnj+3Sg
   2 ê-ati-kaskikwâtahk	PV/e+PV/ati+kaskikwâtam+V+TI+Cnj+3Sg
   2 ê-ati-itât	PV/e+PV/ati+itêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-ati-itohtêyit	PV/e+ati-itohtêw+V+AI+Cnj+4Sg/Pl
   2 ê-ati-itohtêcik	PV/e+ati-itohtêw+V+AI+Cnj+3Pl
   2 ê-ati-ayât	PV/e+ati-ayâw+V+AI+Cnj+3Sg
   2 ê-ati	ê-ati+?
   2 ê-at[i]-ây-ispayik	ê-at[i]-ây-ispayik+?
   2 ê-at-ây-ihkihk	ê-at-ây-ihkihk+?
   2 ê-astâhk	PV/e+astâw+V+TI+Cnj+X
   2 ê-astwâtocik	ê-astwâtocik+?
   2 ê-astamawât	PV/e+astamawêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-askihtakosicik	PV/e+askihtakosiw+V+AI+Cnj+3Pl
   2 ê-asiwatêyiki	PV/e+asiwatêw+V+II+Cnj+4Pl
   2 ê-asiwatêki	PV/e+asiwatêw+V+II+Cnj+3Pl
   2 ê-asitahpitisot	PV/e+asitahpitisow+V+AI+Cnj+3Sg
   2 ê-asitahpisot	PV/e+asitahpisow+V+AI+Cnj+3Sg
   2 ê-asamâyâhkik	PV/e+asamêw+V+TA+Cnj+1Pl+3PlO
   2 ê-asamâcik	PV/e+asamêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-asamit	PV/e+asamêw+V+TA+Cnj+3Sg+1SgO
   2 ê-asamihcik	PV/e+asamêw+V+TA+Cnj+X+3PlO
   2 ê-asamacik	PV/e+asamêw+V+TA+Cnj+2Sg+3PlO
   2 ê-apiyan	PV/e+apiw+V+AI+Cnj+2Sg
   2 ê-apihk	PV/e+apiw+V+AI+Cnj+X
   2 ê-akâwâsit	PV/e+akâwâtêw+V+TA+Cnj+3Sg+1SgO
   2 ê-akwâniht	PV/e+akwânêw+V+TA+Cnj+X+3SgO
   2 ê-akwanahât	PV/e+akwanahêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-akwanahwât	PV/e+akwanahwêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ê-akwanahoyân	PV/e+akwanahow+V+AI+Cnj+1Sg
   2 ê-akwanahiht	PV/e+akwanahêw+V+TA+Cnj+X+3SgO
   2 ê-akotâcik	PV/e+akotêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ê-akosîcik	PV/e+akosîw+V+AI+Cnj+3Pl
   2 ê-akosiyit	ê-akosiyit+?
   2 ê-akonahk	PV/e+akonam+V+TI+Cnj+3Sg
   2 ê-akohcihk	PV/e+akohcin+V+AI+Cnj+3Sg
   2 ê-ahikot	PV/e+ahêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ê-	ê-+?
   2 ââh	ââh+?
   2 âyîtawihkwâkan	âyîtawihkwâkan+N+A+Sg
   2 âyâwêw	âyâwêw+?
   2 âyinânêw	âyinânêw+?
   2 âyimisîwak	âyimisîwak+?
   2 âyimisiwak	âyimisiw+V+AI+Ind+3Pl
   2 âyimanohk	âyimanohk+Ipc
   2 âyimaniyiw	âyiman+V+II+Ind+4Sg
   2 âyamihâwin	âyamihâwin+?
   2 ây-âhci	ây-âhci+?
   2 âwîna	âwîna+?
   2 âwataskosiwâkan	âwataskosiwâkan+?
   2 âwas	âwatêw+V+TA+Imp+Imm+2Sg+3SgO
   2 âw[a	âw[a+?
   2 âtâwêwikamikohk	âtâwêwikamikohk+?
   2 âtim	âtim+?
   2 âstê-kîsikâyiw	âstê-kîsikâw+V+II+Ind+4Sg
   2 âstawîyiw	âstawîyiw+?
   2 âstawîw	âstawîw+?
   2 âsowakamêyohpîci	âsowakamêyohpîci+?
   2 âsowahohin	âsowahohin+?
   2 âsowaham	âsowaham+V+TI+Ind+3Sg
   2 âsosimêyiwa	âsosimêyiwa+?
   2 âskîhkân	âskîhkân+?
   2 âskipwâwa	âskipwâwa+?
   2 âsiskawêw	âsiskawêw+V+TA+Ind+3Sg+4Sg/PlO
   2 âsay_cî	Iph
   2 âsapâpâhtikwak	âsapâpâhtikwak+?
   2 âsapâpa	âsapâpa+?
   2 âs-~	âs-~+?
   2 âs	âs+Ipc
   2 âpiw	âpiw+?
   2 âpisisin	âpisisin+V+AI+Ind+3Sg
   2 âpisis	âpisis+?
   2 âpihtawikosisâniskwêwak	âpihtawikosisâniskwêw+N+A+Pl
   2 âpihtaw-tipahipîsimwân	âpihtaw-tipahipîsimwân+?
   2 âpihkonêw	âpihkonêw+V+TA+Ind+3Sg+4Sg/PlO
   2 âpatanwa	âpatan+V+II+Ind+3Pl
   2 âpakosîsak	âpakosîs+N+A+Pl
   2 âpacihêw	âpacihêw+V+TA+Ind+3Sg+4Sg/PlO
   2 âpacihtâwak	âpacihtâw+V+TI+Ind+3Pl
   2 ânit[a	ânit[a+?
   2 ânisîhcicikan	ânisîhcicikan+N+I+Sg
   2 ânis	ânis+?
   2 âkwask	âkwask+Ipc
   2 âkwa	âkwa+?
   2 âkos	âkos+?
   2 âkohpa	âkohpa+?
   2 âkocikanihk	âkocikanihk+?
