32334 ,	,+CLB
 143 nôtokêsiw	nôtokêsiw+N+A+Sg
 143 kîspin	kîspin+Ipc
 142 CM	Rom+Quant
 141 ayîsiyiniwak	ayîsiyiniwak+?
 140 SW	SW+?
 139 iskwêwak	iskwêw+N+A+Pl
 138 nisîmis	nisîmis+N+A+D+Px1Sg+Sg
 137 an[a	an[a+?
 136 êkotowahk	êkotowahk+Ipc
 136 âskaw	âskaw+Ipc
 135 mâskôc	mâskôc+Ipc
 134 ôhtâwiya	ôhtâwiya+?
 134 wiyâs	wiyaw+N+I+D+Der/Dim+wiyaw+N+I+D+Px3Sg+Sg
 134 niwîkimâkan	niwîkimâkan+N+A+D+Px1Sg+Sg
 132 nanâtohk	nanâtohk+Ipc
 131 ê-itwêt	PV/e+itwêw+V+AI+Cnj+3Sg
 131 aspin	aspin+Ipc
 130 êy	êy+Ipc
 130 âhci_piko	Iph
 130 you	you+?
 130 kîkwây	kîkwây+Pron+Interr+Sg
 128 ’	’+PUNCT+RIGHT
 126 niyanân	niyanân+Pron+Pers+1Pl
 124 ân[a	ân[a+?
 123 wîkiwâhk	nîki+N+I+D+Px3Pl+Loc
 123 awâsisak	awâsis+N+A+Pl
 122 wîsta	wîsta+Pron+Pers+3Sg+Incl
 121 nimâmâ	nimâmâw+N+A+D+Voc+Sg
 120 kotaka	kotaka+?
 120 iskwêwa	iskwêw+N+A+Obv
 119 isi	isi+Ipc
 118 the	the+?
 118 laughs	laughs+?
 117 ya	ya+?
 117 môya	môya+?
 116 nipahêw	nipahêw+V+TA+Ind+3Sg+4Sg/PlO
 116 nama_kîkway	Ipn
 116 know	know+?
 115 môy_wîhkâc	Iph+Neg
 114 misiwê	misiwê+Ipc
 114 itohtêw	itohtêw+V+AI+Ind+3Sg
 114 $	$+?
 113 misatimwa	misatim+N+A+Obv
 113 kêkâc	kêkâc+Ipc
 112 kâwi	kâwi+Ipc
 110 êha	êha+Ipc
 110 wiyawâw	wiyawâw+Ipc
 110 nâpêwa	nâpêw+N+A+Obv
 110 nâpêsis	nâpêsis+N+A+Sg
 110 ayîsiyiniwa	ayîsiyiniwa+?
 109 kîkisêpâ	kîkisêpâ+Ipc
 109 ayahciyiniwa	ayahciyiniw+N+A+Obv
 108 ôhci	ôhci+?
 108 ani	ani+Ipc
 107 wâpamêw	wâpamêw+V+TA+Ind+3Sg+4Sg/PlO
 106 laughter	laughter+?
 105 êtokê	êtokê+Ipc
 105 oskinîkiwa	oskinîkiw+N+A+Obv
 105 nôsisê	nôsisim+N+A+D+Voc+Sg
 104 mâka_mîna	Iph
 104 kâ-wâpamât	PV/kaa+wâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
 103 tahki	tahki+Ipc
 103 sêmâk	sêmâk+Ipc
 103 oskinîkiwak	oskinîkiw+N+A+Pl
 103 nayêstaw	nayêstaw+Ipc
 101 ê-tipiskâyik	PV/e+tipiskâw+V+II+Cnj+4Sg
 101 nêhiyawak	nêhiyaw+N+A+Pl
 101 nikosis	nikosis+N+A+D+Px1Sg+Sg
 100 ‘	‘+PUNCT+LEFT
 100 ân[i	ân[i+?
 100 onâpêma	ninâpêm+N+A+D+Px3Sg+Obv
 100 itwêwak	itwêw+V+AI+Ind+3Pl
  99 âyisk	âyisk+?
  99 pêyakwan	pêyakwan+Ipc
  99 ohc	ohc+?
  99 awiya	awiya+?
  98 âw	âw+Ipc
  97 nikâwiy	nikâwiy+N+A+D+Px1Sg+Sg
  97 mêkwâc	mêkwâc+Ipc
  96 nistam	nistam+Ipc
  95 nâpêwak	nâpêw+N+A+Pl
  94 kotakak	kotakak+?
  93 maskihkiy	maskihkiy+N+I+Sg
  92 wâkayôsa	wâkayôsa+?
  92 ostêsa	nistês+N+A+D+Px3Sg+Obv
  92 "	"+PUNCT
  91 îh	îh+Ipc
  91 âta_wiya	Iph
  91 mêtoni	mêtoni+Ipc
  90 êkâya	êkâya+Ipc
  90 wâkayôs	wâkayôs+?
  90 sôskwât	sôskwât+Ipc
  90 pêyakwâw	pêyakwâw+Ipc
  90 pisisik	pisisik+Ipc
  90 itwêyiwa	itwêw+V+AI+Ind+4Sg/Pl
  90 askiy	askiy+N+I+Sg
  89 nititik	itêw+V+TA+Ind+3Sg+1SgO
  89 miywêyihtam	miywêyihtam+V+TI+Ind+3Sg
  88 ispî	ispî+Ipc
  88 anih	anih+?
  87 wîstawâw	wîstawâw+Pron+Pers+3Pl+Incl
  87 nipiy	nipiy+N+I+Sg
  86 okosisa	nikosis+N+A+D+Px3Sg+Obv
  86 nîkân	nîkân+Ipc
  86 ma	ma+Ipc
  86 external	external+?
  85 êtikw	êtikw+?
  85 wîhkâc	wîhkâc+Ipc
  85 otinêw	otinêw+V+TA+Ind+3Sg+4Sg/PlO
  85 kêhtê-ayak	kêhtê-aya+N+A+Pl
  84 êkây	êkây+Ipc
  84 break	break+?
  84 ayâw	ayâw+V+AI+Ind+3Sg
  84 ayi	ayi+Ipc
  82 kîwêw	kîwêw+V+AI+Ind+3Sg
  82 kiyipa	kiyipa+Ipc
  81 ânihi	ânihi+?
  81 nipâpâ	nipâpâw+N+A+D+Voc+Sg
  81 kîhtwâm	kîhtwâm+Ipc
  81 kiskêyihtam	kiskêyihtam+V+TI+Ind+3Sg
  80 ayîsiyiniw	ayîsiyiniw+?
  79 wâ	wâ+Ipc
  79 niy	niy+?
  79 misawâc	misawâc+Ipc
  78 ê-itêyihtamân	PV/e+itêyihtam+V+TI+Cnj+1Sg
  78 nawac	nawac+Ipc
  77 ê-miywâsik	PV/e+miywâsin+V+II+Cnj+3Sg
  77 wâpahtam	wâpahtam+V+TI+Ind+3Sg
  77 tânitê	tânitê+Ipc
  77 nistêsê	nistês+N+A+D+Voc+Sg
  77 mînisa	mînis+N+I+Pl
  77 hêy	hêy+Ipc
  76 /	/+PUNCT
  74 ê-~	ê-~+?
  74 âhpô	âhpô+?
  74 okimâw	okimâw+N+A+Sg
  74 nîtim	nîtim+N+A+D+Px1Sg+Sg
  74 mîciwin	mîciwin+N+I+Sg
  74 konit	konit+?
  73 sakâhk	sakâhk+Ipc
  73 nîst	nîst+?
  73 ayâwak	ayâw+V+AI+Ind+3Pl
  72 îtwêw	îtwêw+?
  72 nêhiyaw	nêhiyaw+N+A+Sg
  72 cîki	cîki+Ipc
